ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other,display
104-6596,Naíscoil & Bunscoil Bheann Mhadagáin,Other Maintained,202,BT146HP,54.616937,-5.949653,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,142.12670403551894,0,190,12,Local Catholic Church
104-6641,Scoil an Droichid,Other Maintained,188,BT72EP,54.588406,-5.922093,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,137.11309200802089,0-4,133,51-55,Local Catholic Church
104-6672,Gaelscoil an Lonnain,Other Maintained,52,BT124PD,54.598146,-5.952671,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,72.11102550927978,0,48-52,0-4,Jesuits
105-6483,Cliftonville Integrated Primary School ,Controlled Integrated,409,BT146JQ,54.617719,-5.946517,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,202.23748416156684,95,158,156,Child Evangelism Fellowship<br>Crown Jesus Ministries<br>Jesuits<br>Local Catholic Church<br>Local Methodist Church<br>Store House
105-6535,Forge Integrated Primary School ,Controlled Integrated,393,BT73HE,54.571426,-5.914854,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,198.2422760159901,81,130,182,Humanists<br>Inclusive (Other Religions)<br>Local Baptist Church
106-6531,Hazelwood Integrated Primary School ,Grant Maintained Integrated,447,BT367EN,54.653708,-5.930399,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,211.42374511865967,107,188,152,Local Catholic Church<br>ROCOR - Russian Orthodox Church Outside Russia
106-6580,Cranmore Integrated Primary School ,Grant Maintained Integrated,229,BT100JB,54.567245,-5.9836,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,151.32745950421557,91,90,48,Humanists<br>Local Evangelical Church<br>Local Methodist Church<br>Local Presbyterian Church<br>Non-Religious
201-0380,Londonderry Model Primary School ,Controlled,274,BT487HJ,55.001857,-7.327068,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,165.52945357246847,13,171,90,Local Catholic Church<br>Local Church of Ireland<br>Scripture Union
201-0382,Ebrington Primary and Nursery School,Controlled,468,BT476LR,55.00355,-7.294566,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,216.33307652783935,305,31,132,Child Evangelism Fellowship<br>Local Church of Ireland<br>Local Methodist Church<br>Local Presbyterian Church<br>Scripture Union
201-1787,Kesh Primary School ,Controlled,242,BT931RF,54.5185,-7.724128,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,155.56349186104046,198,13,31,Bible Centred Ministries<br>Gideons<br>Local Baptist Church<br>Local Free Presbyterian Church<br>Love for Life<br>Non-Religious<br>Scripture Union
201-1789,Moat Primary School ,Controlled,131,BT920JH,54.250571,-7.441829,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,114.45523142259596,110,0-4,17-21,Hope for Youth Ministries<br>Independent Methodist<br>Local Church of Ireland<br>Local Methodist Church<br>Local Presbyterian Church<br>Missions<br>Scripture Union
201-1860,Belleek Primary School ,Controlled,38,BT933EZ,54.478584,-8.088848,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,61.64414002968976,27,0-4,07-Nov,Local Church of Ireland<br>Scripture Union
201-1873,Aghadrumsee Primary School ,Controlled,35,BT927AU,54.228318,-7.273448,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,59.16079783099616,31-35,0,0-4,Child Evangelism Fellowship<br>Independent Methodist<br>Local Church of Ireland<br>Scripture Union
201-1879,Newtownbutler Primary School ,Controlled,34,BT928JE,54.184655,-7.363636,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,58.30951894845301,30-34,0,0-4,Independent Christian Volunteer<br>Local Methodist Church<br>Non-Religious<br>Scripture Union
201-1881,Florencecourt Primary School ,Controlled,139,BT921BZ,54.267656,-7.705226,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,117.89826122551597,102,6,31,Child Evangelism Fellowship<br>Local Church of Ireland<br>Scripture Union
201-1893,Ballinamallard Primary School ,Controlled,156,BT942NY,54.423759,-7.595463,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,124.89995996796796,103,11,42,Crown Jesus Ministries<br>Local Baptist Church<br>Local Church of Ireland<br>Local Methodist Church<br>Missions<br>Scripture Union<br>Vineyard
201-1894,Brookeborough Primary School ,Controlled,67,BT944EZ,54.315124,-7.405276,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,81.85352771872451,60,0,7,Elim Pentecostal<br>Local Baptist Church<br>Local Church of Ireland<br>Local Methodist Church<br>Scripture Union
201-1899,Derrygonnelly Primary School ,Controlled,61,BT936HY,54.418231,-7.814745,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,78.10249675906654,57-61,0,0-4,Hope for Youth Ministries<br>Missions<br>Scripture Union
201-2052,Culmore Primary School ,Controlled,56,BT488JH,55.047404,-7.2733,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,74.83314773547883,16,31,9,Local Catholic Church<br>Local Church of Ireland<br>Local Presbyterian Church
201-2095,Ballougry Primary School ,Controlled,45,BT489XN,54.973231,-7.381453,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,67.08203932,6,21,18,Child Evangelism Fellowship<br>Local Catholic Church
201-2227,Drumahoe Primary School ,Controlled,289,BT473SD,54.978992,-7.274787,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,170,240,0-4,45-49,Local Presbyterian Church<br>Reformed Presbyterian
201-2245,Eglinton Primary School ,Controlled,204,BT473AH,55.022296,-7.181148,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,142.82856857085702,112,26,66,Local Church of Ireland<br>Local Presbyterian Church<br>Scripture Union
201-2261,Newbuildings Primary School ,Controlled,193,BT472RL,54.959422,-7.358562,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.92443989449805,168,0-4,21-25,Local Church of Ireland
201-2298,Ballykelly Primary School ,Controlled,288,BT499JS,55.036151,-7.018907,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,169.70562748477138,101,153,34,Local Catholic Church<br>Local Presbyterian Church<br>Scripture Union
201-2344,Mcclintock Primary School ,Controlled,117,BT781UQ,54.516792,-7.252568,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,108.16653826391968,84,13,20,Child Evangelism Fellowship<br>Local Free Presbyterian Church<br>Local Presbyterian Church
201-2638,Edwards Primary School ,Controlled,237,BT817HY,54.712165,-7.587335,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,153.94804318340653,217,0-4,16-20,Child Evangelism Fellowship<br>Christian Fellowship Church (CFC)<br>Local Baptist Church<br>Local Church of Ireland<br>Local Free Presbyterian Church<br>Local Methodist Church<br>Local Presbyterian Church<br>Scripture Union
