,blue,catholic,display,estimated_total_visits,green,lat,lon,name,no_religion,no_withdrawn,estimated_non_christian_string,other,other_christian,other_religion,other_string,protestant,radius_freq,red,pupils_total_2024_25,unclassified,url
301-0875,36.0,20.0,Ballymena Baptist: twice per term<br>Ballymena Methodist: twice per term<br>Ballymena Mission Hall: twice per term<br>Coaching for Christ: weekly<br>Crown Jesus Ministries: twice per term<br>High Kirk Presbyterian: twice per term<br>Hope for Youth Ministries: twice per term<br>Love for Life: twice per term<br>St Patricks Church of Ireland: twice per term<br>Stand By Me: twice per term<br>Wellington Presbyterian: twice per term,96.0,216.0,54.872475,-6.283945,Ballymena Primary School,16.0,5 or fewer,25-43 (12-20%),141.0,98.0,9.0,141 (65%),55.0,279.7038245602177,250.0,216.0,18.0,96.0
301-0878,147.0,2.5,Ballymoney Free Presbyterian Church: <1/month<br>Ballyrashane and Kildollagh Church of Ireland: <1/month<br>Bushmills Free Presbyterian Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Scripture Union: <1/month,16.0,37.0,55.131635,-6.549567,"Kilmoyle Primary School, Ballymoney",12.5,Zero,11-19 (9-16%),34.5,17.0,0.0,33-36 (28-31%),81.0,143.19560070576398,172.0,118.0,5.0,16.0
301-0879,157.0,7.0,Killiead and Loanends Presbyterian Church: monthly,9.0,24.0,54.647027,-6.147504,"Straidhavern Primary School, Crumlin",13.0,Zero,11-18 (28-46%),19.0,2.0,2.0,19 (49%),13.0,114.8528137423857,157.0,39.0,2.0,9.0
301-0880,141.0,6.0,"Abbot's Cross Presbyterian Church, Newtownabbey: <1/month<br>Child Evangelism Fellowship: <1/month<br>Immanuel Presbyterian Church: <1/month<br>Stand By Me: <1/month",14.0,45.0,54.677807,-5.913202,"King's Park Primary School, Newtownabbey",41.0,11,50-77 (18-27%),100.0,23.0,9.0,100 (35%),177.0,152.40890911996985,180.0,283.0,27.0,14.0
301-0883,120.0,8.0,DID NOT RESPOND TO SURVEY,,120.0,54.863391,-5.840866,"Linn Primary School, Larne",18.0,,18-174 (4-43%),197.0,23.0,0.0,197 (49%),199.0,200.0,120.0,404.0,156.0,https://parentsforinclusiveeducationni.org/
301-0891,116.0,3.0,"1st Ahoghill Presbyterian: 4 or 5 visits<br>Brookside Presbyterian, Ahoghill: 4 or 5 visits<br>Coaching for Christ: 4 or 5 visits<br>Gospel Hall, Ahoghill: 4 or 5 visits<br>Scripture Union: 4 or 5 visits<br>St Colmanell's Church of Ireland, Ahoghill: 4 or 5 visits<br>Stand By Me: 4 or 5 visits<br>Trinity Presbyterian, Ahoghill: 4 or 5 visits",32.0,75.0,54.853382,-6.365883,"Fourtowns Primary School, Ahoghill",65.0,Zero,63-70 (23-26%),86.5,18.0,0.0,85-88 (31-32%),183.0,178.91608375189028,207.0,272.0,3.0,32.0
301-0892,167.0,0.0,Ballywatt Presbyterian: <1/month<br>Dunluce Presbyterian: <1/month,7.0,4.0,55.189198,-6.549391,"Ballytober Primary School, Bushmills",6.5,5 or fewer,5-22 (6-28%),23.0,2.5,0.0,23 (29%),55.0,98.28240246569014,129.0,78.0,14.0,7.0
301-0893,145.0,2.3333333333333335,Ballinaloob Gospel Hall: <1/month<br>Child Evangelism Fellowship: <1/month<br>Coaching for Christ: <1/month<br>First Kilraughts Presbyterian Church: <1/month<br>Scripture Union: <1/month<br>Stand By Me: <1/month,19.0,39.0,55.046713,-6.361116,"Knockahollet Primary School, Ballymena",2.3333333333333335,Zero,-1-6 (-2-9%),19.5,15.0,0.0,18-21 (27-32%),44.0,139.42515822612555,174.0,66.0,2.3333333333333335,19.0
301-0895,161.0,3.0,No External Visitors,0.0,16.0,54.665168,-5.928049,Rathcoole Primary School,28.0,Zero,30-63 (18-38%),69.5,8.0,3.0,68-71 (41-43%),93.0,124.48809448814174,147.0,165.0,30.0,0.0
301-2049,85.0,10.0,Ballywillan Presbyterian: 1-3/month<br>Causeway Coast Vineyard: <1/month<br>Portrush Baptist: <1/month<br>Portrush Pentecostal: <1/month<br>Portrush Presbyterian: <1/month<br>Portstewart Baptist Church: <1/month<br>Reformed Presbyterian: <1/month<br>Scripture Union: <1/month,32.0,116.0,55.181707,-6.658516,"Carnalridge Primary School, Portrush",32.0,Zero,33-41 (29-36%),54.0,13.0,2.5,54 (48%),49.0,185.4807294312621,234.0,113.0,6.5,32.0
301-2065,96.0,5.0,"Child Evangelism Fellowship: 1-3/month<br>Church of Ireland, Aghadowey: <1/month<br>Free Presbyterian, Coleraine/Garvagh/Rasharkin: 1-3/month<br>Gospel Hall, Coleriane: <1/month<br>Hope for Youth Ministries: <1/month<br>Presbyterian Church, Aghadowey: <1/month<br>Vineyard, Coleraine: <1/month",37.0,102.0,55.053707,-6.606702,"Culcrow Primary School, Aghadowey",5.0,Zero,5-20 (6-24%),26.0,6.0,0.0,26 (32%),51.0,193.61596924506964,226.0,82.0,15.0,37.0
301-2225,93.0,11.0,Ballyrashane Presbyterian Church: 1-3/month<br>Killdollagh Church of Ireland Coleraine: 1-3/month<br>Terrace Row Presbyterian Church: 1-3/month<br>Vineyard Church Coleraine: 1-3/month,42.0,106.0,55.10324,-6.616839,"Damhead Primary School, Coleraine",47.0,Zero,47 (23%),57.0,10.0,0.0,57 (28%),137.0,189.794510901613,228.0,205.0,0.0,42.0
301-2229,137.0,5.0,"Christchurch Church of Ireland, Castlerock: 4 or 5 visits<br>Ist Dunboe Presbyterian Church: 4 or 5 visits<br>Scripture Union: twice",12.0,50.0,55.153828,-6.781233,"Hezlett Primary School, Coleraine",41.0,Zero,42-49 (28-33%),63.0,14.0,2.5,63 (42%),82.0,152.96340919151518,184.0,150.0,5.5,12.0
301-2233,145.0,0.0,Kilcronaghan Church of Ireland: 1-3/month<br>Tobermore Baptist: 1-3/month<br>Tobermore Presbyterian: 1-3/month,32.0,39.0,54.815827,-6.702548,"Tobermore Primary School, Tobermore",2.5,Zero,1-4 (1-5%),12.0,9.5,0.0,12 (15%),66.0,142.43283709460886,174.0,78.0,0.0,32.0
301-2234,137.0,2.5,Churchtown Presbyterian Tamlaght O'Crilly: <1/month<br>Culnady Presbyterian Church: <1/month<br>Hope for Youth Ministries: <1/month<br>Maghera Presbyterian Church: <1/month<br>St. Lurach's – Church of Ireland: <1/month<br>Tobermore Baptist Church: <1/month,20.0,50.0,54.884641,-6.629046,"Ampertaine Primary School, Maghera",26.0,Zero,26-40 (23-35%),39.5,2.5,0.0,38-41 (34-36%),71.0,142.445611048255,184.0,113.0,11.0,20.0
301-2237,124.0,9.0,Baptist Youth: <1/month<br>Child Evangelism Fellowship: <1/month,4.0,65.0,55.127567,-6.675885,"Killowen Primary School, Coleraine",77.0,Zero,78-85 (40-44%),103.0,22.0,2.5,103 (53%),80.0,172.7215980342658,198.0,193.0,2.5,4.0
301-2250,36.0,17.0,Agherton Parish Church: <1/month<br>Burnside Presbyterian Church: 1-3/month<br>Causeway Coast Vineyard: <1/month<br>Child Evangelism Fellowship: <1/month<br>Portrush Gospel Hall: <1/month<br>Portstewart Baptist Church: 1-3/month<br>Portstewart Methodist Church: <1/month<br>Portstewart Presbyterian Church Afterschool Club: weekly<br>Scripture Union: <1/month<br>Stand By Me: <1/month,76.0,224.0,55.18539,-6.714378,Portstewart Primary School,76.0,5 or fewer,80-84 (31-33%),129.0,45.0,5.5,129 (50%),112.0,245.59312207999548,247.0,258.0,2.5,76.0
301-2264,81.0,28.0,"1st Coleraine Presbyterian: monthly<br>New Row Presbyterian, Coleraine: monthly<br>St Malachy's Parish Catholic: twice per term<br>St Patrick's Church, C.O.I.: monthly",33.0,123.0,55.138851,-6.66204,"Millburn Primary School, Coleraine",136.0,Zero,150 (48%),160.0,10.0,14.0,160 (51%),123.0,210.0,237.0,311.0,0.0,33.0
301-2267,131.0,19.5,1st Magherafelt Presbyterian: <1/month<br>Calvary Free Presbyterian Church Magherafelt: <1/month<br>Crown Jesus Ministries: <1/month<br>Independent Methodist: <1/month<br>St Swithins Church Magherafelt: <1/month<br>Stand By Me: <1/month,18.0,56.0,54.75997,-6.599445,Magherafelt Primary School,35.0,10,54-58 (21-23%),82.0,25.0,19.0,82 (32%),154.0,157.71135662760886,190.0,255.0,2.5,18.0
