,blue,catholic,display,estimated_total_visits,green,lat,lon,name,no_religion,no_withdrawn,estimated_non_christian_string,other,other_christian,other_religion,other_string,protestant,radius_freq,red,pupils_total_2024_25,unclassified,url
162-0089,120.0,7.0,SCHOOL NOT SURVEYED,,120.0,54.600385,-5.865909,"Strathearn Preparatory School, Belfast",13.0,,16-108 (12-82%),109.0,3.5,3.5,109 (83%),16.0,200.0,120.0,132.0,89.0,https://parentsforinclusiveeducationni.org/
162-0264,120.0,32.0,SCHOOL NOT SURVEYED,,120.0,54.572426,-5.950249,"Victoria College Prep Department, Belfast",47.0,,56-66 (43-50%),67.0,2.5,9.0,67 (51%),32.0,200.0,120.0,131.0,8.5,https://parentsforinclusiveeducationni.org/
201-0380,137.0,169.0,Christchurch: <1/month<br>Scripture Union: <1/month<br>St Eugene's Cathedral: <1/month,9.0,50.0,55.001857,-7.327068,Londonderry Model Primary School,53.0,Zero,80-86 (28-30%),105.0,19.0,27.0,105 (37%),13.0,157.68931593327915,184.0,287.0,6.0,9.0
201-0382,71.0,40.0,"All Saints Church of Ireland, Clooney: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Clooney Hall Methodist Church: 1-3/month<br>Ebrington Presbyterian Church: 1-3/month<br>Scripture Union: 1-3/month",53.0,138.0,55.00355,-7.294566,Ebrington Primary School,90.0,9,106-121 (23-26%),142.0,21.0,16.0,142 (30%),284.0,229.8828228166264,244.0,466.0,15.0,53.0
201-1787,103.0,16.0,Bible Centred Ministries: twice per term<br>Enniskillen Baptist: 1-3/month<br>Free Presbyterian: 1-3/month<br>Gideons: <1/month<br>Love for Life: <1/month<br>Scripture Union: 1-3/month,41.0,91.0,54.5185,-7.724128,Kesh Primary School,19.0,Zero,20-27 (8-11%),40.0,13.0,2.5,40 (16%),188.0,194.7433551966937,219.0,244.0,5.5,41.0
201-1789,149.0,7.5,Church of Ireland: once or twice per month<br>Faith Mission: once<br>Hope for Youth Ministries: once<br>Independent Methodist: monthly<br>Methodist Church: once<br>Presbyterian: once<br>Scripture Union: termly,30.0,35.0,54.250571,-7.441829,"Moat Primary School, Lisnaskea",18.0,Zero,18 (13%),20.0,2.5,0.0,20 (15%),107.0,135.98113039593417,169.0,135.0,0.0,30.0
201-1860,167.0,2.5,Church of Ireland: monthly<br>Scripture Union: once,10.0,4.0,54.478584,-8.088848,Belleek No 2 Primary School,6.0,Zero,6 (15%),9.5,2.5,0.0,8-11 (21-28%),27.0,96.81317235396024,129.0,39.0,0.0,10.0
201-1873,167.0,0.0,Child Evangelism Fellowship: <1/month<br>Church of Ireland: <1/month<br>Independent Methodist: <1/month<br>Scripture Union: <1/month,11.0,4.0,54.228318,-7.273448,"Aghadrumsee Primary School, Roslea",3.0,Zero,2-5 (6-15%),6.0,3.0,0.0,6 (18%),28.0,103.37131103024296,129.0,34.0,0.0,11.0
201-1879,164.0,0.0,"Independent Christian Volunteer: monthly<br>Methodist Church, Newtownbutler: twice per term<br>Scripture Union: twice per term",21.0,9.0,54.184655,-7.363636,Newtownbutler Primary School,2.5,Zero,1-4 (4-15%),2.5,0.0,0.0,1-4 (4-15%),23.5,114.8528137423857,139.0,26.0,0.0,21.0
201-1881,156.0,10.0,"Child Evangelism Fellowship: <1/month<br>Scripture Union: <1/month<br>St John's Church, Florencecourt: <1/month",9.0,25.0,54.267656,-7.705226,Florencecourt Primary School,11.0,Zero,11-27 (8-19%),34.0,7.0,0.0,34 (24%),95.0,126.536776838139,158.0,139.0,16.0,9.0
201-1893,90.0,14.0,Ballinamallard Methodist Church: weekly<br>Crown Jesus Ministries: <1/month<br>Faith Mission: 1-3/month<br>Independent Methodist: <1/month<br>Magheracross Parish: weekly<br>Mullaghmeen Baptist Church: est. 5-10 visits<br>Scripture Union: termly,88.0,110.0,54.423759,-7.595463,Ballinamallard Primary School,21.0,Zero,21-28 (12-16%),39.0,11.0,0.0,39 (23%),117.0,200.16372206699145,231.0,170.0,7.0,88.0
201-1894,161.0,0.0,"Church of Ireland, Aghavea: <1/month<br>Elim Church, Brookeborough: <1/month<br>Methodist Church, Brookeborough: <1/month<br>Scripture Union: <1/month<br>Stonepark Baptist Church, Brookeborough/Fivemiletown: <1/month",16.0,16.0,54.315124,-7.405276,Brookeborough Primary School,5.0,Zero,5-9 (8-15%),6.0,0.0,0.0,6 (10%),51.5,119.05470482309072,147.0,59.0,2.5,16.0
201-1899,164.0,0.0,Hope for Youth Ministries: <1/month<br>Scripture Union: <1/month<br>The Faith Mission – West Irish District: 1-3/month,16.0,9.0,54.418231,-7.814745,Derrygonnelly Primary School,2.5,5 or fewer,1-8 (2-15%),2.5,0.0,0.0,1-4 (2-8%),48.0,112.4620339582672,139.0,53.0,2.5,16.0
201-2052,168.0,28.0,"Ballyarnett and Knowhead Church, Derry/L’Derry: <1/month<br>Christ Church, Culmore and St Peter's, Derry/L’Derry: <1/month<br>Our Lady of Lourdes, Steelstown, Derry/L’Derry: <1/month",10.0,2.0,55.047404,-7.2733,Culmore Primary School,5.0,5 or fewer,6-9 (10-16%),10.0,2.5,2.5,10 (17%),20.0,93.67032204967956,123.0,58.0,0.0,10.0
201-2095,155.0,18.0,Child Evangelism Fellowship: 1-3/month<br>Newton and Killea Parish Church: <1/month,13.0,27.0,54.973231,-7.381453,Ballougry Primary School,4.0,Zero,4-7 (11-19%),15.5,10.0,0.0,14-17 (39-47%),4.0,135.27424503014336,160.0,36.0,0.0,13.0
201-2227,155.0,9.0,Glendermott Presbyterian Church: <1/month<br>Reformed Presbyterian: <1/month,8.0,27.0,54.978992,-7.274787,Drumahoe Primary School,32.0,5 or fewer,33-41 (12-15%),59.0,18.0,2.5,59 (21%),209.0,134.74370264241782,160.0,277.0,6.5,8.0
201-2245,115.0,27.0,"Faughanvale Presbyterian Church, Eglinton: 1-3/month<br>Scripture Union: 1-3/month<br>St Canices, Eglinton: 1-3/month",31.0,77.0,55.022296,-7.181148,Eglinton Primary School,36.0,5 or fewer,36-44 (18-22%),70.0,26.0,0.0,70 (34%),106.0,175.0556543439202,208.0,203.0,8.0,31.0
201-2261,168.0,6.0,"Church of Ireland, Newbuildings: <1/month",4.0,2.0,54.959422,-7.358562,Newbuildings Primary School,22.0,5 or fewer,23-26 (13-15%),26.0,2.5,2.5,26 (15%),138.0,95.72670690061992,123.0,171.0,0.0,4.0
201-2298,161.0,154.0,Ballykelly Presbyterian Church: <1/month<br>Limavady Parish: <1/month<br>Scripture Union: <1/month,9.0,17.0,55.036151,-7.018907,Ballykelly Primary School,30.0,Zero,31-38 (11-13%),42.0,7.0,2.5,42 (14%),99.0,120.92746915400215,149.0,295.0,2.5,9.0
201-2344,124.0,13.0,Child Evangelism Fellowship: monthly<br>Seskinore Presbyterian Church: monthly<br>Sixmilecross Free Presbyterian: monthly,27.0,65.0,54.516792,-7.252568,"McClintock Primary School, Seskinore",11.0,Zero,11-20 (9-16%),26.0,6.0,0.0,26 (21%),85.0,165.76450198781714,198.0,124.0,9.0,27.0
201-2638,147.0,6.0,Baptist: termly<br>Child Evangelism Fellowship: twice<br>Christian Fellowship Church (CFC): termly<br>Church of Ireland: 4 or 5 visits<br>Free Presbyterian: termly<br>Methodist: once<br>Presbyterian: twice per term<br>Scripture Union: twice,25.0,37.0,54.712165,-7.587335,"Edwards Primary School, Castlederg",10.0,Zero,11-15 (4-6%),20.0,5.0,2.5,20 (8%),228.0,145.09995655950524,172.0,254.0,2.5,25.0
201-2641,36.0,0.0,1st Presbyterian Church: 1-3/month<br>Baptist Church: 1-3/month<br>Child Evangelism Fellowship: monthly<br>Church of Ireland – Castlederg and Killeter: 1-3/month<br>Free Presbyterian Church: 1-3/month<br>Hope for Youth Ministries: 1-3/month<br>Methodist Church: 1-3/month<br>Mulvin Free Presbyterian Church: 4 or 5 visits<br>Scripture Union: 1-3/month,87.0,211.0,54.676376,-7.62298,"Killen Primary School, Castlederg",18.0,Zero,24-27 (17-19%),28.0,2.5,7.5,28 (20%),112.0,246.6711185792274,251.0,140.0,0.0,87.0
201-2660,168.0,9.0,No External Visitors,0.0,1.0,54.497618,-7.312571,"Denamona Primary School, Fintona",20.0,Zero,20-34 (22-38%),34.0,0.0,0.0,34 (38%),46.0,93.49803146555018,118.0,89.0,14.0,0.0
201-2669,146.0,0.0,Child Evangelism Fellowship: monthly<br>Kilskeery Church of Ireland: twice monthly<br>Scripture Union: termly,30.0,38.0,54.442087,-7.538532,"Queen Elizabeth II Primary School, Kilskeery",2.5,Zero,1-4 (3-12%),2.5,2.5,0.0,1-4 (3-12%),27.0,146.96153213770756,173.0,32.0,0.0,30.0
201-2671,168.0,0.0,"Child Evangelism Fellowship: <1/month<br>Scripture Union: <1/month<br>The Methodist Church, Drumquin: <1/month",9.0,2.0,54.616985,-7.493971,"Langfield Primary School, Drumquin",2.5,Zero,1-4 (5-20%),2.5,2.5,0.0,1-4 (5-20%),15.0,97.83737378684889,123.0,20.0,0.0,9.0
201-2691,124.0,77.0,Edenderry Church of Ireland: <1/month<br>First Omagh Presbyterian Church: <1/month<br>Mountjoy Presbyterian Church: <1/month<br>Omagh Baptist Church: <1/month<br>Omagh Methodist Church: <1/month<br>Sacred Heart Church: <1/month<br>St Columbus Church of Ireland: <1/month<br>Trinity Presbyterian Church: <1/month,26.0,65.0,54.600998,-7.292169,Omagh County Primary School,38.0,Zero,46-65 (11-15%),97.0,32.0,8.0,97 (23%),252.0,173.6706028061486,198.0,426.0,19.0,26.0
201-2707,102.0,2.6666666666666665,Child Evangelism Fellowship: weekly<br>Holy Trinity Parish Church Dromore: 1-3/month<br>Scripture Union: <1/month<br>Togherdoo Methodist Church: 1-3/month,58.0,93.0,54.510784,-7.454496,"Dromore Primary School, Tyrone",2.6666666666666665,Zero,4-7 (10-17%),14.5,9.0,2.6666666666666665,13-16 (31-38%),25.0,204.143316658556,220.0,42.0,0.0,58.0
201-2708,155.0,149.0,"Baptist Churches In N. Ireland: once<br>Child Evangelism Fellowship: twice<br>Sacred Heart Church, Strabane: 10 visits<br>Scripture Union: once",14.0,27.0,54.83205,-7.461078,Strabane Primary School,25.0,5 or fewer,30-39 (12-15%),49.0,10.0,5.0,49 (19%),62.0,133.92304845413264,160.0,260.0,9.0,14.0
201-2711,101.0,2.5,"Child Evangelism Fellowship: 1-3/month<br>Donemana Presbyterian Church: <1/month<br>Scripture Union: twice per term<br>St James’ Church, Donemana: <1/month<br>Temperance Charity: 4 or 5 visits",29.0,95.0,54.877979,-7.302308,"Donemana Primary School, Strabane",11.0,Zero,11-24 (10-22%),28.5,2.5,0.0,27-30 (25-28%),77.0,171.5741616370842,221.0,108.0,13.0,29.0
201-6003,133.0,53.0,Baptist: once<br>Child Evangelism Fellowship: termly<br>Church of Ireland: termly<br>Elim: once<br>Free Presbyterian: termly<br>Independent Methodist: once<br>Methodist: termly<br>Presbyterian: once<br>Reformed Presbyterian: termly<br>Roman Catholic: termly<br>Scripture Union: once,23.0,54.0,54.328868,-7.656817,"Jones Memorial Primary School, Enniskillen",9.5,5 or fewer,12 (9%),23.0,11.0,2.5,23 (18%),52.0,154.70765814495917,188.0,128.0,0.0,23.0
201-6029,130.0,47.0,"Child Evangelism Fellowship: <1/month<br>Christchurch C.O.I., Limavady: <1/month<br>Drumachose Presbyterian, Limavady: <1/month",10.0,57.0,55.051176,-6.94439,"Drumachose Primary School, Limavady",90.0,Zero,90 (23%),127.0,37.0,0.0,127 (32%),218.0,169.75942826406305,191.0,392.0,0.0,10.0
201-6068,139.0,10.0,Child Evangelism Fellowship: 1-3/month<br>Leckpatrick Church of Ireland: <1/month<br>Leckpatrick Presbyterian Church: <1/month<br>Stand By Me: <1/month,21.0,47.0,54.855847,-7.407479,"Artigarvan Primary School, Strabane",16.0,Zero,16-25 (9-14%),38.0,13.0,0.0,38 (22%),125.0,150.24659347874783,182.0,173.0,9.0,21.0
201-6071,168.0,293.0,St Brigid's Church Derry Londonderry: <1/month,2.0,0.0,55.021889,-7.317524,Greenhaw Primary School,16.0,5 or fewer,17-21 (5-7%),21.0,0.0,2.5,21 (7%),5.0,84.94239407476404,111.0,319.0,2.5,2.0
201-6089,129.0,47.0,Edenderry C of I: <1/month<br>Evangelical Presbyterian: <1/month<br>Mountjoy: <1/month<br>Omagh Methodist: <1/month<br>St Columba's Omagh: <1/month<br>Trinity & First Omagh Presbyterian Churches: <1/month,20.0,59.0,54.604154,-7.29572,"Gibson Primary School, Omagh",53.0,5 or fewer,58-77 (19-25%),91.0,14.0,5.0,91 (30%),168.0,165.32472805690972,192.0,306.0,19.0,20.0
201-6102,119.0,2.5,"Baptist Youth: <1/month<br>Child Evangelism Fellowship: <1/month<br>Hope for Youth Ministries: <1/month<br>Methodist Church, Tempo: <1/month<br>Presbyterian Church, Tempo: <1/month<br>Scripture Union: twice per term<br>St Margarets Church of Ireland Clabby and Tempo: 1-3/month<br>Stonepark Baptist Church: <1/month",34.0,71.0,54.377149,-7.461287,Tempo Primary School,5.5,Zero,4-21 (5-24%),28.5,9.0,0.0,27-30 (31-34%),57.0,164.49737359139584,203.0,88.0,14.0,34.0
201-6124,168.0,2.5,Child Evangelism Fellowship: <1/month,3.0,0.0,54.973507,-7.287503,"Ashlea S, Tullyally",2.5,5 or fewer,1-4 (1-4%),7.5,5.0,0.0,6-9 (6-10%),84.0,89.34184481000355,117.0,94.0,0.0,3.0
201-6127,156.0,2.5,Aghavea Church of Ireland: termly<br>Independent Methodist: termly<br>Maguiesbridge Church of Ireland: termly<br>Maguiresbridge Methodist: termly<br>Maguiresbridge Presbyterian: termly<br>Scripture Union: termly<br>Stonepark Baptist: termly,21.0,25.0,54.301344,-7.481555,Maguiresbridge Primary School,16.0,5 or fewer,13-20 (12-18%),18.5,0.0,0.0,17-20 (15-18%),92.0,124.48809448814174,158.0,113.0,2.5,21.0
201-6151,156.0,19.0,Derryvullen North and Castle Archdale Church of Ireland: <1/month<br>Irvinestown Presbyterian Church: <1/month<br>Scripture Union: <1/month<br>The Priory Church Killadeas: <1/month,13.0,25.0,54.472202,-7.642599,Irvinestown Primary School,21.0,Zero,22-30 (12-17%),38.0,9.5,2.5,38 (21%),120.0,126.33866295566568,158.0,177.0,5.0,13.0
201-6152,130.0,65.0,"Christian Fellowship Church (CFC): once<br>Enniskillen Methodist Church: once<br>Enniskillen Presbyterian Church: once<br>Enniskillen and Mullaghmeen Baptist Church: once<br>Independent Methodist: once<br>St. Macartin's Cathedral, Enniskillen: once<br>St. Michael's Church Enniskillen: once",7.0,57.0,54.341165,-7.620475,Enniskillen Model Primary School,50.0,5 or fewer,66-115 (15-27%),153.0,38.0,16.0,153 (35%),214.0,174.49913494550754,191.0,432.0,49.0,7.0
201-6184,149.0,2.5,"Colaghty Parish Church, Lack, Co. Fermanagh: monthly<br>Free Presbyterian Church, Kesh, Co. Fermanagh: monthly<br>Scripture Union: 4 or 5 visits",22.0,35.0,54.546551,-7.579352,"Lack Primary School, Enniskillen",2.5,Zero,1-4 (5-18%),2.5,0.0,0.0,1-4 (5-18%),17.0,138.0,169.0,22.0,0.0,22.0
201-6203,43.0,93.0,All Saints Clooney Church of Ireland: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Ebrington Presbyterian Church: 1-3/month<br>Glendermott Church of Ireland: 1-3/month<br>Kilfennan Presbyterian Church: 1-3/month<br>Scripture Union: 1-3/month,63.0,187.0,54.99271,-7.290194,Lisnagelvin Primary School,90.0,5 or fewer,137-141 (24.6-25.3%),185.0,45.5,47.0,185 (33%),279.0,255.74827953782,253.0,557.0,2.5,63.0
201-6218,124.0,6.5,Baptist: <1/month<br>Christian Fellowship Church (CFC): <1/month<br>Church of Ireland: <1/month<br>Elim: <1/month<br>Free Presbyterian: <1/month<br>Gospel Hall: <1/month<br>Hope for Youth Ministries: <1/month<br>Independent Methodist: <1/month<br>Love for Life: <1/month<br>Methodist: <1/month<br>Presbyterian: <1/month<br>Scripture Union: <1/month,35.0,65.0,54.313563,-7.541601,Lisbellaw Primary School,17.0,Zero,17-21 (8-10%),30.0,10.0,0.0,30 (15%),164.0,176.30370883417916,198.0,200.0,2.5,35.0
201-6262,118.0,1.6666666666666667,Child Evangelism Fellowship: monthly<br>Free Presbyterian Church: monthly<br>Scripture Union: termly,21.0,72.0,54.717583,-7.393252,Newtownstewart Model Primary School,11.0,Zero,11-14 (17-22%),13.5,1.6666666666666667,1.6666666666666667,12-15 (19-24%),47.0,160.3533658944026,204.0,63.0,0.0,21.0
201-6372,125.0,8.5,Banagher Presbyterian Church: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Scripture Union: termly<br>Upper Cumber Presbyterian Church: 1-3/month,34.0,64.0,54.911407,-7.16597,Cumber Claudy Primary School,13.0,Zero,13-17 (9-12%),25.0,9.0,0.0,25 (17%),113.0,165.53702709697345,197.0,146.0,2.5,34.0
201-6395,111.0,2.5,Child Evangelism Fellowship: 1-3/month<br>Mountjoy Presbyterian Church: 1-3/month<br>Mulvin Free Presbyterian Church: 1-3/month<br>Scripture Union: 1-3/month,40.0,81.0,54.721979,-7.232268,"Gortin Primary School, Omagh",6.0,Zero,4-14 (6-22%),13.5,2.5,2.5,12-15 (18-23%),49.0,185.9780204296197,211.0,65.0,2.5,40.0
201-6426,127.0,30.0,"Causeway Coast Vineyard: <1/month<br>Child Evangelism Fellowship: <1/month<br>Other Christian Charities: <1/month<br>Presbyterian Church – Irish Green Street, Limavady: <1/month<br>Scripture Union: <1/month",15.0,62.0,55.040775,-6.937312,Limavady Central Primary School,56.0,5 or fewer,64-68 (20-21%),91.0,23.0,9.5,91 (29%),198.0,167.47070899404358,195.0,319.0,2.5,15.0
201-6564,131.0,6.5,Carlisle Road Methodist Church: 1-3/month<br>Carlisle Road Presbyterian Church: 1-3/month<br>First Derry Presbyterian Church: 1-3/month<br>St Columb's Cathedral: 1-3/month,43.0,56.0,54.992945,-7.320312,"Fountain Primary School, Londonderry",7.0,5 or fewer,8-11 (10-14%),24.0,13.0,2.5,24 (30%),50.0,145.9753668426434,190.0,79.0,0.0,43.0
201-6645,90.0,0.0,Baptist Youth: once<br>Child Evangelism Fellowship: monthly<br>Crown Jesus Ministries: once<br>Independent Methodist: <1/month<br>Magheramason Presbyterian Church: monthly<br>Reformed Presbyterian: <1/month<br>Scripture Union: once,27.0,110.0,54.922304,-7.424609,"Bready Jubilee Primary School, Strabane",5.0,Zero,5-26 (4-21%),43.0,17.0,0.0,43 (35%),79.0,161.81805642627265,231.0,122.0,21.0,27.0
201-6656,138.0,1.6666666666666667,Balteagh and Bovevagh Presbyterian Church: 1-3/month<br>Child Evangelism Fellowship: c. 20 visits<br>Dungiven and Bovevagh Church of Ireland: 1-3/month<br>Dungiven and Largy Presbyterian Churches: 1-3/month<br>Scripture Union: 1-3/month<br>Second Limavady Presbyterian Church: 1-3/month,71.0,48.0,54.969592,-6.939161,"Drumrane Primary School, Dungiven",13.0,Zero,9-16 (7-12%),15.5,1.6666666666666667,0.0,14-17 (10-12%),119.0,215.39533050060504,183.0,137.0,1.6666666666666667,71.0
201-6663,167.0,6.0,Acre: <1/month<br>Child Evangelism Fellowship: 1-3/month<br>Church of Ireland: <1/month<br>Evangelical Church: <1/month<br>Free Presbyterian Church: <1/month<br>Presbyterian Church: <1/month<br>Scripture Union: <1/month,29.0,0.0,54.556212,-7.124179,"Cooley Primary School, Sixmilecross",7.5,Zero,10 (11%),10.0,0.0,2.5,10 (11%),78.0,161.04230365994945,103.0,94.0,0.0,29.0
201-6700,149.0,145.0,Dungiven Parish: <1/month<br>Eucharistic Adoration: <1/month,5.0,35.0,54.960912,-6.920609,"Gaelscoil Neachtain, Dungiven",2.5,5 or fewer,1-4 (1-3%),2.5,2.5,0.0,1-4 (1-3%),0.0,77.43910116727791,169.0,150.0,0.0,5.0
201-6701,166.0,0.0,Ardstraw Presbyterian Church: <1/month<br>Christian Evangelical Mission: <1/month<br>Drumlegagh Presbyterian Church: <1/month<br>Mulvin Free Presbyterian Church: <1/month,13.0,0.0,54.730514,-7.437064,Ardstraw Jubilee Primary School,15.0,Zero,15-23 (17-26%),29.0,6.0,0.0,29 (33%),60.0,127.8643645813303,95.0,89.0,8.0,13.0
203-0364,159.0,369.0,"St Eugene's Parish, Derry: <1/month",2.0,2.0,55.00123,-7.333908,Rosemount Primary School,0.0,Zero,-2-5 (-1-1%),6.0,2.0,2.0,6 (2%),0.0,69.73243846867024,73.0,375.0,2.0,2.0
203-0373,159.0,202.0,No External Visitors,0.0,2.0,54.990118,-7.328968,Nazareth House Primary School,2.3333333333333335,Zero,3-6 (1-3%),7.0,2.3333333333333335,2.3333333333333335,7 (3%),0.0,46.97056274847714,73.0,209.0,0.0,0.0
203-0381,164.0,360.0,No External Visitors,0.0,1.0,54.995642,-7.345406,"Holy Child Primary School, Derry",0.0,Zero,0 (0%),2.5,0.0,0.0,1-4 (0-1%),0.0,46.97056274847714,89.0,360.0,0.0,0.0
203-1828,120.0,161.0,DID NOT RESPOND TO SURVEY,,120.0,54.354685,-7.561968,"St Patrick's Primary School, Mullanaskea",4.0,,1-8 (1-5%),6.5,0.0,0.0,5-8 (3-5%),2.5,200.0,120.0,170.0,2.5,https://parentsforinclusiveeducationni.org/
203-1863,164.0,59.0,"St Michael's Parish, Enniskillen: <1/month",2.0,1.0,54.323129,-7.534164,"Tattygar Primary School, Lisbellaw",0.0,Zero,0 (0%),2.5,0.0,0.0,1-4 (2-7%),0.0,61.66491223210112,87.0,59.0,0.0,2.0
203-1868,164.0,116.5,"St. Tierney's, Roslea: <1/month",2.0,1.0,54.244237,-7.179598,"St Tierney's Primary School, Roslea",0.0,Zero,0 (0%),0.0,0.0,0.0,0 (0%),2.5,61.66491223210112,87.0,119.0,0.0,2.0
203-1869,162.0,173.5,Galloon Parish Newtownbutler: <1/month,2.0,2.0,54.176603,-7.361462,"St Mary's Primary School, Newtownbutler",0.0,5 or fewer,0-4 (0-2%),2.5,2.5,0.0,1-4 (1-2%),2.5,61.66491223210112,79.0,181.0,2.5,2.0
203-1874,159.0,120.5,Diocesan / Catechetical advisors: once,1.0,2.0,54.423359,-7.825537,"St Patrick's Primary School, Derrygonnelly",2.5,Zero,1-4 (1-3%),2.5,0.0,0.0,1-4 (1-3%),0.0,54.0,73.0,123.0,0.0,1.0
203-1876,164.0,64.5,No External Visitors,0.0,1.0,54.31662,-7.402704,"St Mary's Primary School, Brookeborough",2.5,Zero,1-4 (1-6%),2.5,0.0,0.0,1-4 (1-6%),0.0,46.97056274847714,87.0,67.0,0.0,0.0
203-1880,164.0,139.0,"St Ninnidh's RC Church, Derrylin: <1/month",2.0,1.0,54.195598,-7.586252,"St Ninnidh's Primary School, Derrylin",1.5,5 or fewer,0-4 (0-3%),5.0,1.5,1.5,5 (3%),1.5,61.66491223210112,87.0,145.0,0.0,2.0
203-1884,166.0,92.5,"St Patricks RC Church, Killesher: <1/month",2.0,0.0,54.255454,-7.69017,"St Mary's Primary School, Killesher",2.5,Zero,1-4 (1-4%),2.5,0.0,0.0,1-4 (1-4%),0.0,61.66491223210112,97.0,95.0,0.0,2.0
203-1887,159.0,12.5,Love for Life: <1/month,2.0,2.0,54.466277,-8.0356,"St John the Baptist Primary School, Roscor",0.0,Zero,0 (0%),0.0,0.0,0.0,0 (0%),2.5,71.81592314623018,73.0,15.0,0.0,2.0
203-1890,160.0,130.5,No External Visitors,0.0,19.0,54.290964,-7.669003,"St Mary's Primary School, Mullymesker",2.5,5 or fewer,1-4 (1-3%),2.5,0.0,0.0,1-4 (1-3%),0.0,46.97056274847714,151.0,133.0,0.0,0.0
203-1895,159.0,156.0,St Mary's Church Maguiresbridge & Holy Cross Lisnaskea I.E Parish of Aghalurcher: weekly,32.0,2.0,54.289934,-7.464837,"St Mary's Primary School, Maguiresbridge",1.75,5 or fewer,-1-6 (-1-4%),7.0,1.75,1.75,7 (4%),0.0,127.9305876628952,73.0,163.0,1.75,32.0
203-1897,152.0,63.0,No External Visitors,0.0,4.0,54.363711,-7.803869,"Killyhommon Primary School, Enniskillen",2.5,Zero,1-8 (1-12%),2.5,0.0,0.0,1-4 (1-6%),0.0,46.97056274847714,54.0,68.0,2.5,0.0
203-1898,156.0,211.0,No External Visitors,0.0,25.0,54.474003,-7.646918,"St Paul's Primary School, Irvinestown",3.0,Zero,4-7 (2-3%),8.0,2.5,2.5,8 (4%),6.0,30.0,158.0,225.0,0.0,0.0
